Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
1986,Israel,0.022291237229904393,0.5797185780787135,0.7479158490218695,0.8237248366516096,0.7840673805724055,0.14525949550594375,0.9024390243902439,Asia
1987,Israel,0.022651184087451783,0.594212865002116,0.7516519548069419,0.8256962657304845,0.7869619533464822,0.15714699913018265,0.9024390243902439,Asia
1988,Israel,0.023054716580723212,0.5797185780787135,0.7550660497090059,0.8279854126088578,0.7898395868705128,0.16758480719049,0.9146341463414634,Asia
1989,Israel,0.023551615394504566,0.6087071519255184,0.7585233192546018,0.8298923772066751,0.7925575522783683,0.1754131632357205,0.9146341463414634,Asia
1990,Israel,0.02417391425169855,0.6087071519255184,0.7619323171501377,0.8323226223624653,0.7954998059044266,0.18918527109307046,0.9146341463414634,Asia
1991,Israel,0.024939236535586076,0.6232014388489209,0.7653766942674567,0.834619662850764,0.7983970450419364,0.19657871846912148,0.9146341463414634,Asia
1992,Israel,0.025827836534716722,0.6232014388489209,0.7690399428415691,0.8373051347274764,0.8015940147983169,0.20788634386778776,0.926829268292683,Asia
1993,Israel,0.026787821982100522,0.6087071519255184,0.7721952897063554,0.8399596899653141,0.8045105458594904,0.2155697303566251,0.926829268292683,Asia
1994,Israel,0.02774555077674713,0.6232014388489209,0.775285874605844,0.8425806973609689,0.8073772002399728,0.2299217164395477,0.926829268292683,Asia
1995,Israel,0.028646712809448145,0.6521900126957259,0.7787467420384008,0.8458243132394914,0.8107344654921597,0.24746303276311973,0.9390243902439024,Asia
1996,Israel,0.029477359817094644,0.7101671603893356,0.7821857223252784,0.8495616086387666,0.8143157052727338,0.26558422731226444,0.9390243902439024,Asia
1997,Israel,0.030250247260634466,0.7391557342361404,0.7853677535183586,0.8532206257396148,0.8177251998792293,0.2728327051319223,0.9390243902439024,Asia
1998,Israel,0.03097093080418727,0.7391557342361404,0.7887617602182239,0.8567214417415409,0.8211701414348956,0.27776167004928964,0.9390243902439024,Asia
1999,Israel,0.0316536542249109,0.7536500211595429,0.7920121512635628,0.8600805016652228,0.824472354124433,0.2800811829515802,0.9512195121951219,Asia
2000,Israel,0.03231156521149083,0.7536500211595429,0.7951234240130771,0.8637747111103217,0.827861615737818,0.31139460713250217,0.9512195121951219,Asia
2001,Israel,0.03293627653792053,0.6232014388489209,0.7982412928886865,0.8675767998910682,0.8313057730689452,0.3228472020875616,0.9512195121951219,Asia
2002,Israel,0.033528567286692575,0.6376957257723234,0.8013549642295079,0.8713071883816587,0.8347135423814547,0.3273412583357495,0.9512195121951219,Asia
2003,Israel,0.03412253440606939,0.5507300042319087,0.8041691114808274,0.8747728120393338,0.8378383634802317,0.309365033342998,0.9634146341463414,Asia
2004,Israel,0.03476343990237978,0.5507300042319087,0.8073151638042977,0.8782397512986633,0.8411374392716123,0.3335749492606553,0.9634146341463414,Asia
1980,Italy,0.3026947501655188,0.4927528565382988,0.7557445512250655,0.835755684879198,0.7938999878445195,0.13395187010727747,0.9024390243902439,Europe
1981,Italy,0.3035177675377205,0.4927528565382988,0.7548954499022723,0.8358731023268388,0.7935117966976304,0.14641925195708902,0.9024390243902439,Europe
1982,Italy,0.3042526841124657,0.44926999576809146,0.7536391877050608,0.8360562998571914,0.7929419791474696,0.15569730356625108,0.9024390243902439,Europe
1983,Italy,0.30488667995301416,0.43477570884468897,0.752186540844562,0.8362184477610761,0.7922593901085759,0.16396056828066105,0.9146341463414634,Europe
1984,Italy,0.30539957950929875,0.43477570884468897,0.7508253402776549,0.8362148298565271,0.7915455889330233,0.1754131632357205,0.9146341463414634,Europe
1985,Italy,0.3057812170980367,0.40578713499788405,0.7496686196196973,0.8364013163910152,0.7910294123413416,0.18556103218324152,0.9146341463414634,Europe
1986,Italy,0.30602701493796114,0.40578713499788405,0.7486732042271573,0.8367515953314559,0.7906757270741759,0.1945491446796173,0.9146341463414634,Europe
1987,Italy,0.3061558913011856,0.40578713499788405,0.7478948613479303,0.8373534830882696,0.790555583874775,0.207161496085822,0.926829268292683,Europe
1988,Italy,0.3062097500798465,0.40578713499788405,0.7472112628253426,0.8380418716538494,0.7905262538770101,0.22325311684546245,0.926829268292683,Europe
1989,Italy,0.30624439507234513,0.42028142192128654,0.7466293046094028,0.8388970127291038,0.7906296146712727,0.23890982893592347,0.926829268292683,Europe
1990,Italy,0.3063007254230516,0.43477570884468897,0.7460605386456534,0.8399386403388464,0.7908288077042219,0.25123224122934185,0.9390243902439024,Europe
1991,Italy,0.3064191298429789,0.44926999576809146,0.745942707847681,0.8412358235699245,0.7913857639719405,0.2635546535227602,0.9390243902439024,Europe
1992,Italy,0.306597222727805,0.43477570884468897,0.7455274517276004,0.8426241122155587,0.7918305761305577,0.27225282690634967,0.9390243902439024,Europe
